instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
13152258,51376,NIFTY2651923850CE,NIFTY,0,5/19/2026,23850,0.05,65,CE,NFO-OPT,NFO
13152514,51377,NIFTY2651923850PE,NIFTY,0,5/19/2026,23850,0.05,65,PE,NFO-OPT,NFO
13159426,51404,NIFTY2651924350CE,NIFTY,0,5/19/2026,24350,0.05,65,CE,NFO-OPT,NFO
13159682,51405,NIFTY2651924350PE,NIFTY,0,5/19/2026,24350,0.05,65,PE,NFO-OPT,NFO
13151746,51374,NIFTY2651923800CE,NIFTY,0,5/19/2026,23800,0.05,65,CE,NFO-OPT,NFO
13152002,51375,NIFTY2651923800PE,NIFTY,0,5/19/2026,23800,0.05,65,PE,NFO-OPT,NFO
13159938,51406,NIFTY2651924400CE,NIFTY,0,5/19/2026,24400,0.05,65,CE,NFO-OPT,NFO
13160194,51407,NIFTY2651924400PE,NIFTY,0,5/19/2026,24400,0.05,65,PE,NFO-OPT,NFO
13150722,51370,NIFTY2651923750CE,NIFTY,0,5/19/2026,23750,0.05,65,CE,NFO-OPT,NFO
13150978,51371,NIFTY2651923750PE,NIFTY,0,5/19/2026,23750,0.05,65,PE,NFO-OPT,NFO
13160450,51408,NIFTY2651924450CE,NIFTY,0,5/19/2026,24450,0.05,65,CE,NFO-OPT,NFO
13160706,51409,NIFTY2651924450PE,NIFTY,0,5/19/2026,24450,0.05,65,PE,NFO-OPT,NFO
13161218,51411,NIFTY2651924500PE,NIFTY,0,5/19/2026,24500,0.05,65,PE,NFO-OPT,NFO
13189122,51520,NIFTY2651926550CE,NIFTY,0,5/19/2026,26550,0.05,65,CE,NFO-OPT,NFO
13189378,51521,NIFTY2651926550PE,NIFTY,0,5/19/2026,26550,0.05,65,PE,NFO-OPT,NFO
13188610,51518,NIFTY2651926500CE,NIFTY,0,5/19/2026,26500,0.05,65,CE,NFO-OPT,NFO
13188866,51519,NIFTY2651926500PE,NIFTY,0,5/19/2026,26500,0.05,65,PE,NFO-OPT,NFO
13188098,51516,NIFTY2651926450CE,NIFTY,0,5/19/2026,26450,0.05,65,CE,NFO-OPT,NFO
13188354,51517,NIFTY2651926450PE,NIFTY,0,5/19/2026,26450,0.05,65,PE,NFO-OPT,NFO
13187586,51514,NIFTY2651926400CE,NIFTY,0,5/19/2026,26400,0.05,65,CE,NFO-OPT,NFO
13187842,51515,NIFTY2651926400PE,NIFTY,0,5/19/2026,26400,0.05,65,PE,NFO-OPT,NFO
13187074,51512,NIFTY2651926350CE,NIFTY,0,5/19/2026,26350,0.05,65,CE,NFO-OPT,NFO
13187330,51513,NIFTY2651926350PE,NIFTY,0,5/19/2026,26350,0.05,65,PE,NFO-OPT,NFO
13186562,51510,NIFTY2651926300CE,NIFTY,0,5/19/2026,26300,0.05,65,CE,NFO-OPT,NFO
13186818,51511,NIFTY2651926300PE,NIFTY,0,5/19/2026,26300,0.05,65,PE,NFO-OPT,NFO
13186050,51508,NIFTY2651926250CE,NIFTY,0,5/19/2026,26250,0.05,65,CE,NFO-OPT,NFO
13186306,51509,NIFTY2651926250PE,NIFTY,0,5/19/2026,26250,0.05,65,PE,NFO-OPT,NFO
13185538,51506,NIFTY2651926200CE,NIFTY,0,5/19/2026,26200,0.05,65,CE,NFO-OPT,NFO
13185794,51507,NIFTY2651926200PE,NIFTY,0,5/19/2026,26200,0.05,65,PE,NFO-OPT,NFO
13185026,51504,NIFTY2651926150CE,NIFTY,0,5/19/2026,26150,0.05,65,CE,NFO-OPT,NFO
13185282,51505,NIFTY2651926150PE,NIFTY,0,5/19/2026,26150,0.05,65,PE,NFO-OPT,NFO
13184514,51502,NIFTY2651926100CE,NIFTY,0,5/19/2026,26100,0.05,65,CE,NFO-OPT,NFO
13184770,51503,NIFTY2651926100PE,NIFTY,0,5/19/2026,26100,0.05,65,PE,NFO-OPT,NFO
13183490,51498,NIFTY2651926050CE,NIFTY,0,5/19/2026,26050,0.05,65,CE,NFO-OPT,NFO
13184258,51501,NIFTY2651926050PE,NIFTY,0,5/19/2026,26050,0.05,65,PE,NFO-OPT,NFO
13182978,51496,NIFTY2651926000CE,NIFTY,0,5/19/2026,26000,0.05,65,CE,NFO-OPT,NFO
13183234,51497,NIFTY2651926000PE,NIFTY,0,5/19/2026,26000,0.05,65,PE,NFO-OPT,NFO
13182466,51494,NIFTY2651925950CE,NIFTY,0,5/19/2026,25950,0.05,65,CE,NFO-OPT,NFO
13182722,51495,NIFTY2651925950PE,NIFTY,0,5/19/2026,25950,0.05,65,PE,NFO-OPT,NFO
13181954,51492,NIFTY2651925900CE,NIFTY,0,5/19/2026,25900,0.05,65,CE,NFO-OPT,NFO
13182210,51493,NIFTY2651925900PE,NIFTY,0,5/19/2026,25900,0.05,65,PE,NFO-OPT,NFO
13181442,51490,NIFTY2651925850CE,NIFTY,0,5/19/2026,25850,0.05,65,CE,NFO-OPT,NFO
13181698,51491,NIFTY2651925850PE,NIFTY,0,5/19/2026,25850,0.05,65,PE,NFO-OPT,NFO
13180930,51488,NIFTY2651925800CE,NIFTY,0,5/19/2026,25800,0.05,65,CE,NFO-OPT,NFO
13181186,51489,NIFTY2651925800PE,NIFTY,0,5/19/2026,25800,0.05,65,PE,NFO-OPT,NFO
13180418,51486,NIFTY2651925750CE,NIFTY,0,5/19/2026,25750,0.05,65,CE,NFO-OPT,NFO
13180674,51487,NIFTY2651925750PE,NIFTY,0,5/19/2026,25750,0.05,65,PE,NFO-OPT,NFO
13179906,51484,NIFTY2651925700CE,NIFTY,0,5/19/2026,25700,0.05,65,CE,NFO-OPT,NFO
13180162,51485,NIFTY2651925700PE,NIFTY,0,5/19/2026,25700,0.05,65,PE,NFO-OPT,NFO
13179394,51482,NIFTY2651925650CE,NIFTY,0,5/19/2026,25650,0.05,65,CE,NFO-OPT,NFO
13179650,51483,NIFTY2651925650PE,NIFTY,0,5/19/2026,25650,0.05,65,PE,NFO-OPT,NFO
13178882,51480,NIFTY2651925600CE,NIFTY,0,5/19/2026,25600,0.05,65,CE,NFO-OPT,NFO
13179138,51481,NIFTY2651925600PE,NIFTY,0,5/19/2026,25600,0.05,65,PE,NFO-OPT,NFO
13178370,51478,NIFTY2651925550CE,NIFTY,0,5/19/2026,25550,0.05,65,CE,NFO-OPT,NFO
13178626,51479,NIFTY2651925550PE,NIFTY,0,5/19/2026,25550,0.05,65,PE,NFO-OPT,NFO
13177858,51476,NIFTY2651925500CE,NIFTY,0,5/19/2026,25500,0.05,65,CE,NFO-OPT,NFO
13178114,51477,NIFTY2651925500PE,NIFTY,0,5/19/2026,25500,0.05,65,PE,NFO-OPT,NFO
13177346,51474,NIFTY2651925450CE,NIFTY,0,5/19/2026,25450,0.05,65,CE,NFO-OPT,NFO
13177602,51475,NIFTY2651925450PE,NIFTY,0,5/19/2026,25450,0.05,65,PE,NFO-OPT,NFO
13176834,51472,NIFTY2651925400CE,NIFTY,0,5/19/2026,25400,0.05,65,CE,NFO-OPT,NFO
13177090,51473,NIFTY2651925400PE,NIFTY,0,5/19/2026,25400,0.05,65,PE,NFO-OPT,NFO
13176322,51470,NIFTY2651925350CE,NIFTY,0,5/19/2026,25350,0.05,65,CE,NFO-OPT,NFO
13176578,51471,NIFTY2651925350PE,NIFTY,0,5/19/2026,25350,0.05,65,PE,NFO-OPT,NFO
13175810,51468,NIFTY2651925300CE,NIFTY,0,5/19/2026,25300,0.05,65,CE,NFO-OPT,NFO
13176066,51469,NIFTY2651925300PE,NIFTY,0,5/19/2026,25300,0.05,65,PE,NFO-OPT,NFO
13175298,51466,NIFTY2651925250CE,NIFTY,0,5/19/2026,25250,0.05,65,CE,NFO-OPT,NFO
13175554,51467,NIFTY2651925250PE,NIFTY,0,5/19/2026,25250,0.05,65,PE,NFO-OPT,NFO
13174786,51464,NIFTY2651925200CE,NIFTY,0,5/19/2026,25200,0.05,65,CE,NFO-OPT,NFO
13175042,51465,NIFTY2651925200PE,NIFTY,0,5/19/2026,25200,0.05,65,PE,NFO-OPT,NFO
13174274,51462,NIFTY2651925150CE,NIFTY,0,5/19/2026,25150,0.05,65,CE,NFO-OPT,NFO
13174530,51463,NIFTY2651925150PE,NIFTY,0,5/19/2026,25150,0.05,65,PE,NFO-OPT,NFO
13173762,51460,NIFTY2651925100CE,NIFTY,0,5/19/2026,25100,0.05,65,CE,NFO-OPT,NFO
13174018,51461,NIFTY2651925100PE,NIFTY,0,5/19/2026,25100,0.05,65,PE,NFO-OPT,NFO
13173250,51458,NIFTY2651925050CE,NIFTY,0,5/19/2026,25050,0.05,65,CE,NFO-OPT,NFO
13173506,51459,NIFTY2651925050PE,NIFTY,0,5/19/2026,25050,0.05,65,PE,NFO-OPT,NFO
13172738,51456,NIFTY2651925000CE,NIFTY,0,5/19/2026,25000,0.05,65,CE,NFO-OPT,NFO
13172994,51457,NIFTY2651925000PE,NIFTY,0,5/19/2026,25000,0.05,65,PE,NFO-OPT,NFO
13171714,51452,NIFTY2651924950CE,NIFTY,0,5/19/2026,24950,0.05,65,CE,NFO-OPT,NFO
13172226,51454,NIFTY2651924950PE,NIFTY,0,5/19/2026,24950,0.05,65,PE,NFO-OPT,NFO
13171202,51450,NIFTY2651924900CE,NIFTY,0,5/19/2026,24900,0.05,65,CE,NFO-OPT,NFO
13171458,51451,NIFTY2651924900PE,NIFTY,0,5/19/2026,24900,0.05,65,PE,NFO-OPT,NFO
13170690,51448,NIFTY2651924850CE,NIFTY,0,5/19/2026,24850,0.05,65,CE,NFO-OPT,NFO
13170946,51449,NIFTY2651924850PE,NIFTY,0,5/19/2026,24850,0.05,65,PE,NFO-OPT,NFO
13165570,51428,NIFTY2651924800CE,NIFTY,0,5/19/2026,24800,0.05,65,CE,NFO-OPT,NFO
13165826,51429,NIFTY2651924800PE,NIFTY,0,5/19/2026,24800,0.05,65,PE,NFO-OPT,NFO
13165058,51426,NIFTY2651924750CE,NIFTY,0,5/19/2026,24750,0.05,65,CE,NFO-OPT,NFO
13165314,51427,NIFTY2651924750PE,NIFTY,0,5/19/2026,24750,0.05,65,PE,NFO-OPT,NFO
13164546,51424,NIFTY2651924700CE,NIFTY,0,5/19/2026,24700,0.05,65,CE,NFO-OPT,NFO
13164802,51425,NIFTY2651924700PE,NIFTY,0,5/19/2026,24700,0.05,65,PE,NFO-OPT,NFO
13164034,51422,NIFTY2651924650CE,NIFTY,0,5/19/2026,24650,0.05,65,CE,NFO-OPT,NFO
13164290,51423,NIFTY2651924650PE,NIFTY,0,5/19/2026,24650,0.05,65,PE,NFO-OPT,NFO
13163522,51420,NIFTY2651924600CE,NIFTY,0,5/19/2026,24600,0.05,65,CE,NFO-OPT,NFO
13163778,51421,NIFTY2651924600PE,NIFTY,0,5/19/2026,24600,0.05,65,PE,NFO-OPT,NFO
13163010,51418,NIFTY2651924550CE,NIFTY,0,5/19/2026,24550,0.05,65,CE,NFO-OPT,NFO
13163266,51419,NIFTY2651924550PE,NIFTY,0,5/19/2026,24550,0.05,65,PE,NFO-OPT,NFO
13160962,51410,NIFTY2651924500CE,NIFTY,0,5/19/2026,24500,0.05,65,CE,NFO-OPT,NFO
13149698,51366,NIFTY2651923700CE,NIFTY,0,5/19/2026,23700,0.05,65,CE,NFO-OPT,NFO
13149954,51367,NIFTY2651923700PE,NIFTY,0,5/19/2026,23700,0.05,65,PE,NFO-OPT,NFO
13149186,51364,NIFTY2651923650CE,NIFTY,0,5/19/2026,23650,0.05,65,CE,NFO-OPT,NFO
13149442,51365,NIFTY2651923650PE,NIFTY,0,5/19/2026,23650,0.05,65,PE,NFO-OPT,NFO
13147650,51358,NIFTY2651923600CE,NIFTY,0,5/19/2026,23600,0.05,65,CE,NFO-OPT,NFO
13147906,51359,NIFTY2651923600PE,NIFTY,0,5/19/2026,23600,0.05,65,PE,NFO-OPT,NFO
13147138,51356,NIFTY2651923550CE,NIFTY,0,5/19/2026,23550,0.05,65,CE,NFO-OPT,NFO
13147394,51357,NIFTY2651923550PE,NIFTY,0,5/19/2026,23550,0.05,65,PE,NFO-OPT,NFO
13146626,51354,NIFTY2651923500CE,NIFTY,0,5/19/2026,23500,0.05,65,CE,NFO-OPT,NFO
13146882,51355,NIFTY2651923500PE,NIFTY,0,5/19/2026,23500,0.05,65,PE,NFO-OPT,NFO
13146114,51352,NIFTY2651923450CE,NIFTY,0,5/19/2026,23450,0.05,65,CE,NFO-OPT,NFO
13146370,51353,NIFTY2651923450PE,NIFTY,0,5/19/2026,23450,0.05,65,PE,NFO-OPT,NFO
13145090,51348,NIFTY2651923400CE,NIFTY,0,5/19/2026,23400,0.05,65,CE,NFO-OPT,NFO
13145346,51349,NIFTY2651923400PE,NIFTY,0,5/19/2026,23400,0.05,65,PE,NFO-OPT,NFO
13144578,51346,NIFTY2651923350CE,NIFTY,0,5/19/2026,23350,0.05,65,CE,NFO-OPT,NFO
13144834,51347,NIFTY2651923350PE,NIFTY,0,5/19/2026,23350,0.05,65,PE,NFO-OPT,NFO
13138946,51324,NIFTY2651923300CE,NIFTY,0,5/19/2026,23300,0.05,65,CE,NFO-OPT,NFO
13139202,51325,NIFTY2651923300PE,NIFTY,0,5/19/2026,23300,0.05,65,PE,NFO-OPT,NFO
13138434,51322,NIFTY2651923250CE,NIFTY,0,5/19/2026,23250,0.05,65,CE,NFO-OPT,NFO
13138690,51323,NIFTY2651923250PE,NIFTY,0,5/19/2026,23250,0.05,65,PE,NFO-OPT,NFO
13137922,51320,NIFTY2651923200CE,NIFTY,0,5/19/2026,23200,0.05,65,CE,NFO-OPT,NFO
13138178,51321,NIFTY2651923200PE,NIFTY,0,5/19/2026,23200,0.05,65,PE,NFO-OPT,NFO
13136898,51316,NIFTY2651923150CE,NIFTY,0,5/19/2026,23150,0.05,65,CE,NFO-OPT,NFO
13137154,51317,NIFTY2651923150PE,NIFTY,0,5/19/2026,23150,0.05,65,PE,NFO-OPT,NFO
13136386,51314,NIFTY2651923100CE,NIFTY,0,5/19/2026,23100,0.05,65,CE,NFO-OPT,NFO
13136642,51315,NIFTY2651923100PE,NIFTY,0,5/19/2026,23100,0.05,65,PE,NFO-OPT,NFO
13135874,51312,NIFTY2651923050CE,NIFTY,0,5/19/2026,23050,0.05,65,CE,NFO-OPT,NFO
13136130,51313,NIFTY2651923050PE,NIFTY,0,5/19/2026,23050,0.05,65,PE,NFO-OPT,NFO
13135362,51310,NIFTY2651923000CE,NIFTY,0,5/19/2026,23000,0.05,65,CE,NFO-OPT,NFO
13135618,51311,NIFTY2651923000PE,NIFTY,0,5/19/2026,23000,0.05,65,PE,NFO-OPT,NFO
13134850,51308,NIFTY2651922950CE,NIFTY,0,5/19/2026,22950,0.05,65,CE,NFO-OPT,NFO
13135106,51309,NIFTY2651922950PE,NIFTY,0,5/19/2026,22950,0.05,65,PE,NFO-OPT,NFO
13134338,51306,NIFTY2651922900CE,NIFTY,0,5/19/2026,22900,0.05,65,CE,NFO-OPT,NFO
13134594,51307,NIFTY2651922900PE,NIFTY,0,5/19/2026,22900,0.05,65,PE,NFO-OPT,NFO
13133826,51304,NIFTY2651922850CE,NIFTY,0,5/19/2026,22850,0.05,65,CE,NFO-OPT,NFO
13134082,51305,NIFTY2651922850PE,NIFTY,0,5/19/2026,22850,0.05,65,PE,NFO-OPT,NFO
13133314,51302,NIFTY2651922800CE,NIFTY,0,5/19/2026,22800,0.05,65,CE,NFO-OPT,NFO
13133570,51303,NIFTY2651922800PE,NIFTY,0,5/19/2026,22800,0.05,65,PE,NFO-OPT,NFO
13132802,51300,NIFTY2651922750CE,NIFTY,0,5/19/2026,22750,0.05,65,CE,NFO-OPT,NFO
13133058,51301,NIFTY2651922750PE,NIFTY,0,5/19/2026,22750,0.05,65,PE,NFO-OPT,NFO
13131778,51296,NIFTY2651922700CE,NIFTY,0,5/19/2026,22700,0.05,65,CE,NFO-OPT,NFO
13132034,51297,NIFTY2651922700PE,NIFTY,0,5/19/2026,22700,0.05,65,PE,NFO-OPT,NFO
13128962,51285,NIFTY2651922650CE,NIFTY,0,5/19/2026,22650,0.05,65,CE,NFO-OPT,NFO
13129218,51286,NIFTY2651922650PE,NIFTY,0,5/19/2026,22650,0.05,65,PE,NFO-OPT,NFO
13128194,51282,NIFTY2651922600CE,NIFTY,0,5/19/2026,22600,0.05,65,CE,NFO-OPT,NFO
13128450,51283,NIFTY2651922600PE,NIFTY,0,5/19/2026,22600,0.05,65,PE,NFO-OPT,NFO
13127170,51278,NIFTY2651922550CE,NIFTY,0,5/19/2026,22550,0.05,65,CE,NFO-OPT,NFO
13127426,51279,NIFTY2651922550PE,NIFTY,0,5/19/2026,22550,0.05,65,PE,NFO-OPT,NFO
13126658,51276,NIFTY2651922500CE,NIFTY,0,5/19/2026,22500,0.05,65,CE,NFO-OPT,NFO
13126914,51277,NIFTY2651922500PE,NIFTY,0,5/19/2026,22500,0.05,65,PE,NFO-OPT,NFO
13126146,51274,NIFTY2651922450CE,NIFTY,0,5/19/2026,22450,0.05,65,CE,NFO-OPT,NFO
13126402,51275,NIFTY2651922450PE,NIFTY,0,5/19/2026,22450,0.05,65,PE,NFO-OPT,NFO
13125634,51272,NIFTY2651922400CE,NIFTY,0,5/19/2026,22400,0.05,65,CE,NFO-OPT,NFO
13125890,51273,NIFTY2651922400PE,NIFTY,0,5/19/2026,22400,0.05,65,PE,NFO-OPT,NFO
13125122,51270,NIFTY2651922350CE,NIFTY,0,5/19/2026,22350,0.05,65,CE,NFO-OPT,NFO
13125378,51271,NIFTY2651922350PE,NIFTY,0,5/19/2026,22350,0.05,65,PE,NFO-OPT,NFO
13124610,51268,NIFTY2651922300CE,NIFTY,0,5/19/2026,22300,0.05,65,CE,NFO-OPT,NFO
13124866,51269,NIFTY2651922300PE,NIFTY,0,5/19/2026,22300,0.05,65,PE,NFO-OPT,NFO
13124098,51266,NIFTY2651922250CE,NIFTY,0,5/19/2026,22250,0.05,65,CE,NFO-OPT,NFO
13124354,51267,NIFTY2651922250PE,NIFTY,0,5/19/2026,22250,0.05,65,PE,NFO-OPT,NFO
13123330,51263,NIFTY2651922200CE,NIFTY,0,5/19/2026,22200,0.05,65,CE,NFO-OPT,NFO
13123842,51265,NIFTY2651922200PE,NIFTY,0,5/19/2026,22200,0.05,65,PE,NFO-OPT,NFO
13122562,51260,NIFTY2651922150CE,NIFTY,0,5/19/2026,22150,0.05,65,CE,NFO-OPT,NFO
13122818,51261,NIFTY2651922150PE,NIFTY,0,5/19/2026,22150,0.05,65,PE,NFO-OPT,NFO
13122050,51258,NIFTY2651922100CE,NIFTY,0,5/19/2026,22100,0.05,65,CE,NFO-OPT,NFO
13122306,51259,NIFTY2651922100PE,NIFTY,0,5/19/2026,22100,0.05,65,PE,NFO-OPT,NFO
